facility_id,facility_name,basin,city,state,zip_code,primary_naics_code,industry_type_subpart,total_emissions_2020,total_emissions_2019,total_emissions_2018,total_emissions_2017,total_emissions_2016,total_emissions_2015,total_emissions_2014,total_emissions_2013,total_emissions_2012,total_emissions_2011
1009706,"SilverBow Resources, LLC - Basin 220","220 - Gulf Coast Basin (LA, TX)",Houston,TX,77024,211120,W-ONSH,203574.548,220477.38,175775.31,217238.148,280941.304,281435.144,227717.162,272474.368,207719.186,173091.276
1009106,Slawson Exploration - Williston Basin 395,395 - Williston Basin,Denver,CO,80202,211120,W-ONSH,280717.922,492470.72,410412.936,207846.998,169153.258,274058.936,375492.688,167841.116,178852.324,161506.674
1008474,Stephens Production Company - ARKOMA Basin,345 - Arkoma Basin,Fort Smith,AR,72902,211130,W-ONSH,725019.826,690915.828,666601.276,261873.532,261063.784,276770.476,279329.85,1090864.488,1317019.94,1750914.69
1010291,"Summit Petroleum Company, LLC",305 - Michigan Basin,Traverse City,MI,49684,211120,W-ONSH,24974.384,23482.284,16254.488,26125.068,21350.426,23087.078,48541.98,22419.928,21862.028,30328.124
1008536,"TEP Barnett USA LLC, 415 - Strawn Basin",415 - Strawn Basin,Fort Worth,TX,76102,211130,W-ONSH,503738.286,621053.814,616133.802,615790.514,691103.47,830402.336,779469.592,736451.312,858837.664,865726.532
1008355,"TEP Rocky Mountain, LLC - 595 Piceance basin",595 - Piceance Basin,Parachute,CO,81635,211130,W-ONSH,589667.056,1375248.038,1311509.59,1336185.338,1318556.858,555965.39,637582.758,644162.052,622609.794,682302.484
1006770,TPIC Basin 220,"220 - Gulf Coast Basin (LA, TX)",HOUSTON,TX,77057,211120,W-ONSH,267475.188,287828.874515012,139492.408,63135.44,58994.47,44635.456,20825.528,17645.846,16665.326,20363.264
1006750,TRC cYPRESS gROUP LLC,745 - San Joaquin Basin,Taft,CA,93268,211120,W-ONSH,32490.086,33150.932,34842.376,34194.58,34802.33,30050.246,27613.906,23293.018,23892.21,41437.054
1007486,"Tanos Exploration II, LLC Arkla Basin, AAPG 230",230 - Arkla Basin,Tyler,TX,75701,211130,W-ONSH,143345.04,178322.616,149992.252,147259.444,96299.966,107045.114,129868.648,125109.292,141643.514,150351.792
1008885,"Tellus Operating Group, LLC - MS Operations",210 - Mid-Gulf Coast Basin,Ridgeland,MS,39157,211120,W-ONSH,25850.204,25777.184,46682.06,62800.31,55479.904,75856.806,83183.646,94745.57,64958.242,53416.756
