facility_id,facility_name,city,state,zip_code,primary_naics_code,industry_type_subpart,industry_type_sector,total_emissions_2020,total_emissions_2019,total_emissions_2018,total_emissions_2017,total_emissions_2016,total_emissions_2015,total_emissions_2014,total_emissions_2013,total_emissions_2012,total_emissions_2011
1004184,MANCHESTER LANDFILL,MANCHESTER,CT,6040,562212,"C,HH",Waste,81532.298,82675.748,74937.998,79697.048,72625.548,69899.948,65685.846,41910.79,33599.686,39645.874
1007028,MANISTEE COUNTY LANDFILL,MANISTEE,MI,49660,562212,"C,HH",Waste,15082.998,8586.098,11632.95,11601.25,9313.5,7751.75,8071.25,10337.9,12302.2,11461.9
1007610,MAPLEWOOD RECYCLING AND WASTE DISPOSAL,JETERSVILLE,VA,23083,562212,"C,HH",Waste,119955.948,73867.548,57281.298,71965.298,73325.048,146652.298,152914.548,201341.75,161493.542274,158155.737
1002307,MARATHON COUNTY LANDFILL,RINGLE,WI,54471,562212,"C,HH",Waste,24854.75,46550.65,81478.5,95391.1,67269.35,56163.8,66269.6,28598.9,24646.55,20561.35
1004098,"MARCAL MANUFACTURING, LLC.",ELMWOOD PARK,NJ,7407,322291,C,Pulp and Paper,37264.152,20838.88,65598.668,58621.416,59443.31,59933.46,62041.866,61700.052,57424.224,59375.588
1006881,MARION COUNTY BASELINE LANDFILL SOLID WASTE TRANSFER STATION,OCALA,FL,34480,562212,HH,Waste,100970.75,81223.0,60861.0,103337.75,70047.5,107456.25,88310.25,65684.75,63497.5,68456.0
1002256,MARKHAM GAS PROCESSING PLANT,MARKHAM,TX,77456,211130,"C,W-PROC",Petroleum and Natural Gas Systems,110300.452,115984.518,118041.76,89545.85,160785.846,144643.032,158656.6,129805.654,161446.41,278120.288
1005374,MARQUIS ENERGY LLC,HENNEPIN,IL,61327,325193,C,Other,535232.984,505577.296,509815.528,515584.208,454220.54,203368.532,188469.434,181660.062,184846.344,183376.294
1004097,"MARTIN MARIETTA MAGNESIA SPECIALTIES, LLC",WOODVILLE,OH,43469,327410,"C,S",Minerals,1209625.584,1316068.036,1444308.602,1450021.22,1411458.284,1371606.224,1450590.504,1446135.146,1079406.914,1065594.316
1005855,"MARTIN MARIETTA MAGNESIA SPECIALTIES, LLC",MANISTEE,MI,49660,327992,C,Minerals,66231.4,100783.12,106554.648,103009.212,89344.964,88333.668,105534.848,91577.024,98890.436,111403.91
1007661,MARTIN OPERATING PTNR LP,SMACKOVER,AR,71762,324110,"C,MM-REF,P,Y","Chemicals,Petroleum Product Suppliers,Refineries",51635.832,42122.91,323580.546,37771.116,35556.418,62703.972,71480.034,76129.982,60191.034,71506.794
1003980,MARTINEZ COGEN LIMITED PARTNER,MARTINEZ,CA,94553,221112,C,Power Plants,320888.492,391425.876,374910.488,406850.468,415659.384,401600.988,411916.748,386235.06,413282.64,421178.3
1001804,MARTINEZ REFINING COMPANY LLC,MARTINEZ,CA,94553,324110,"C,MM-REF,P,Y","Chemicals,Petroleum Product Suppliers,Refineries",3228239.962,3055156.748,3307401.154,3373399.436,3308464.088,3416230.576,3372306.054,3473581.1,3388715.034,3439983.662
1003587,MARTONE LANDFILL & GAS GENERATING FACILITY,BARRE,MA,1005,562212,HH,Waste,1305.0,1583.25,2271.3,2657.398,3079.692,8693.092,10553.592,12427.48,18083.623515,15986.975
1001809,MARYSVILLE ETHANOL LLC,MARYSVILLE,MI,48040,325193,C,Other,80850.096,79912.2,80086.748,82304.292,82118.99,81257.692,76741.506,78858.546,84113.286,80873.292
1006452,MASSPORT LOGAN AIRPORT,EAST BOSTON,MA,2128,488190,C,Other,22289.714,28579.238,25061.702,27775.48,28949.72,28524.35,27360.386,26912.58,21801.236,31770.45
1007435,MASSPOWER,INDIAN ORCHARD,MA,1151,221112,"C,D",Power Plants,161834.6,129638.02,231260.044,284097.448,304470.524,391415.2,350268.104,321123.76,389202.808,375408.36
1001437,MAUI ELECTRIC CO (MECO) - KAHULUI GENERATING STATION,KAHULUI,HI,96732,221112,C,Power Plants,152026.58,182922.388,170807.78,179645.288,139574.778,112877.352,139848.672,133411.226,177807.67,191207.654
1001438,MAUI ELECTRIC CO (MECO) - MAALAEA GENERATING STATION,KIHEI,HI,96753,221112,C,Power Plants,384827.126,487892.41,465238.524,476767.14,477687.974,490195.222,462575.57,492336.684,521854.858,548479.35
1007188,MAUI ELECTRIC CO (MECO) - PALAAU GENERATING STATION,KAUNAKAKAI,HI,96748,221112,C,Power Plants,24151.71,24542.154,24175.61,23332.922,23408.472,23520.27,24034.562,24171.61,24575.754,25078.846
1002252,MAVERICK - BASIN 305 PROCESSING,Gaylord,MI,49735,211130,"C,W-PROC",Petroleum and Natural Gas Systems,15138.744,18608.032,80413.928,83840.672,81708.282,82406.034,77803.194,106355.05,111293.3,117290.9
1006685,MAYO MEDICAL CENTER - ROCHESTER,ROCHESTER,MN,55905,621111,C,Other,62514.31,67753.53,73453.012,61694.814,71607.126,70975.926,72222.894,70515.274,91363.706,72494.348
1003332,MAYPEARL CMP STN,MAYPEARL,TX,76064,486210,"C,W-NGTC",Petroleum and Natural Gas Systems,7415.796,6334.6,17109.946,15836.298,52093.084,30494.596,92614.236,121782.13,88211.634,102404.356
1005045,MBI NGLP Mont Belvieu Plant,Mont Belvieu,TX,77580,211130,"C,NN-FRAC,W-PROC","Natural Gas and Natural Gas Liquids Suppliers,Petroleum and Natural Gas Systems",216512.186,232400.576,206333.524,139935.124,161373.592,154149.77,158059.706,233423.578,239270.564,222457.614
1002139,MC 736 A-Thunder Hawk (Complex ID # 2045),Offshore,LA,0,211120,"C,W-OFFSH",Petroleum and Natural Gas Systems,74850.996,88485.89,89704.144,91535.174,99273.106,55820.086,66665.68,66594.238,80444.634,79619.584
